"","dataid","clusterid","block","svy","storewat","freechl","latseal","latfeces","humfeces","hwsw","hwss","hwsws","lnsp","rlnsp","hwcat"
"1","28001","280",1,1,0,0,1,1,1,NA,NA,NA,NA,NA,NA
"2","28001","280",1,0,1,NA,0,0,0,1,0,0,NA,NA,1
"3","28001","280",1,2,1,0,1,1,1,1,0,0,NA,NA,1
"4","28002","280",1,2,1,0,1,1,1,0,0,0,NA,NA,0
"5","28002","280",1,0,1,NA,0,0,0,1,0,0,NA,NA,1
"6","28002","280",1,1,1,0,1,1,1,1,0,0,NA,NA,1
"7","28003","280",1,2,1,0,1,1,1,0,0,0,NA,NA,0
"8","28003","280",1,0,1,NA,NA,NA,1,1,0,0,NA,NA,1
"9","28003","280",1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA
"10","28004","280",1,2,1,0,1,1,1,0,0,0,NA,NA,0
"11","28004","280",1,1,1,0,1,1,1,1,1,1,NA,NA,2
"12","28004","280",1,0,1,NA,1,1,0,1,0,0,NA,NA,1
"13","28005","280",1,0,0,NA,0,0,1,1,1,1,NA,NA,2
"14","28005","280",1,1,0,0,1,1,1,1,1,1,NA,NA,2
"15","28005","280",1,2,0,0,1,1,1,1,1,1,NA,NA,2
"16","28006","280",1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA
"17","28006","280",1,2,1,0,1,1,1,0,0,0,NA,NA,0
"18","28006","280",1,0,1,NA,0,1,1,1,0,0,NA,NA,1
"19","28007","280",1,0,0,NA,1,1,1,1,1,1,NA,NA,2
"20","28008","280",1,1,1,0,1,1,1,1,0,0,NA,NA,1
"21","28008","280",1,0,1,NA,0,0,1,1,0,0,NA,NA,1
"22","28008","280",1,2,0,0,1,1,1,1,0,0,NA,NA,1
"23","28101","281",1,1,0,0,0,0,1,1,1,1,NA,NA,2
"24","28101","281",1,2,1,0,0,1,1,1,1,1,NA,NA,2
"25","28101","281",1,0,1,NA,0,0,1,1,0,0,NA,NA,1
"26","28102","281",1,0,0,NA,1,0,1,1,0,0,NA,NA,1
"27","28102","281",1,1,0,0,0,1,1,1,1,1,NA,NA,2
"28","28102","281",1,2,1,0,0,1,1,1,1,1,NA,NA,2
"29","28103","281",1,2,0,0,NA,0,1,1,1,1,NA,NA,2
"30","28103","281",1,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA
"31","28103","281",1,1,1,0,NA,NA,1,1,1,1,NA,NA,2
"32","28104","281",1,1,0,0,0,0,1,1,1,1,NA,NA,2
"33","28104","281",1,0,1,NA,0,0,1,1,0,0,NA,NA,1
"34","28104","281",1,2,0,0,1,0,1,1,1,1,NA,NA,2
"35","28105","281",1,2,0,0,1,0,1,1,1,1,NA,NA,2
"36","28105","281",1,1,0,0,1,1,1,1,1,1,NA,NA,2
"37","28105","281",1,0,0,NA,0,0,1,1,0,0,NA,NA,1
"38","28106","281",1,2,1,0,0,0,1,1,0,0,NA,NA,1
"39","28106","281",1,1,0,0,NA,0,1,1,1,1,NA,NA,2
"40","28106","281",1,0,0,NA,0,0,1,1,0,0,NA,NA,1
"41","28107","281",1,0,1,NA,0,1,1,1,0,0,NA,NA,1
"42","28107","281",1,1,0,0,1,0,1,1,1,1,NA,NA,2
"43","28107","281",1,2,0,0,1,1,1,1,1,1,NA,NA,2
"44","28108","281",1,0,0,NA,0,0,0,1,0,0,NA,NA,1
"45","28108","281",1,1,0,0,0,0,1,1,1,1,NA,NA,2
"46","28108","281",1,2,0,0,0,1,1,1,1,1,NA,NA,2
"47","28201","282",1,0,1,NA,0,0,1,1,1,1,NA,NA,2
"48","28202","282",1,2,1,1,1,1,1,1,1,1,1,1,2
"49","28202","282",1,1,1,1,1,0,1,1,1,1,NA,1,2
"50","28202","282",1,0,1,NA,0,0,1,1,0,0,NA,NA,1
"51","28203","282",1,0,1,NA,0,0,1,1,0,0,NA,NA,1
"52","28203","282",1,2,1,1,1,0,1,1,1,1,0.90625,1,2
"53","28203","282",1,1,1,1,1,1,1,0,0,0,0.9736843,1,0
"54","28204","282",1,1,1,1,1,1,1,1,1,1,1.026316,NA,2
"55","28204","282",1,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"56","28204","282",1,2,1,1,1,1,1,1,1,1,1.019231,1,2
"57","28205","282",1,2,1,1,1,1,1,1,1,1,1,1,2
"58","28205","282",1,0,0,NA,1,1,1,1,0,0,NA,NA,1
"59","28205","282",1,1,1,1,1,1,1,1,0,0,0.975,1,1
"60","28206","282",1,0,1,NA,0,1,1,1,0,0,NA,NA,1
"61","28206","282",1,1,1,1,1,1,1,1,0,0,NA,1,1
"62","28206","282",1,2,1,1,1,1,1,1,1,1,1.033333,1,2
"63","28207","282",1,2,1,1,1,1,1,1,1,1,0.90625,1,2
"64","28207","282",1,1,1,1,1,1,1,1,1,1,0.952381,1,2
"65","28207","282",1,0,1,NA,0,1,1,1,0,0,NA,NA,1
"66","28208","282",1,1,0,0,1,1,1,1,1,1,1.175,1,2
"67","28208","282",1,2,1,1,1,1,1,1,1,1,0.7666667,1,2
"68","28208","282",1,0,0,NA,1,1,1,1,0,0,NA,NA,1
"69","28301","283",1,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA
"70","28301","283",1,0,1,NA,1,1,1,1,0,0,NA,NA,1
"71","28301","283",1,2,1,0,0,0,1,0,0,0,NA,NA,0
"72","28302","283",1,0,1,NA,0,0,1,1,0,0,NA,NA,1
"73","28303","283",1,0,1,NA,0,0,1,1,0,0,NA,NA,1
"74","28303","283",1,2,1,0,1,1,1,0,0,0,NA,NA,0
"75","28303","283",1,1,1,0,1,1,1,1,0,0,NA,NA,1
"76","28304","283",1,0,1,NA,0,0,1,1,1,1,NA,NA,2
"77","28305","283",1,0,1,NA,1,1,1,1,0,0,NA,NA,1
"78","28305","283",1,2,0,0,1,1,1,1,1,1,NA,NA,2
"79","28305","283",1,1,1,0,1,1,1,1,1,1,NA,NA,2
"80","28306","283",1,0,0,NA,1,1,1,1,0,0,NA,NA,1
"81","28306","283",1,2,0,0,0,1,1,1,0,0,NA,NA,1
"82","28306","283",1,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA
"83","28307","283",1,1,1,0,0,1,1,1,0,0,NA,NA,1
"84","28307","283",1,2,0,0,0,0,1,1,0,0,NA,NA,1
"85","28307","283",1,0,1,NA,0,0,1,1,0,0,NA,NA,1
"86","28401","284",1,2,1,0,0,0,1,1,0,0,NA,NA,1
"87","28401","284",1,0,1,NA,0,0,1,1,0,0,NA,NA,1
"88","28401","284",1,1,1,1,0,0,1,1,0,0,NA,NA,1
"89","28402","284",1,1,1,1,0,1,1,NA,NA,NA,NA,NA,NA
"90","28402","284",1,0,1,NA,0,1,1,NA,NA,NA,NA,NA,NA
"91","28402","284",1,2,1,0,1,1,1,0,0,0,NA,NA,0
"92","28403","284",1,1,1,1,1,1,1,1,1,1,NA,NA,2
"93","28403","284",1,2,1,1,0,1,1,1,1,1,NA,NA,2
"94","28403","284",1,0,0,NA,1,1,1,1,0,0,NA,NA,1
"95","28404","284",1,0,1,NA,0,0,1,NA,NA,NA,NA,NA,NA
"96","28404","284",1,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA
"97","28404","284",1,2,1,1,0,1,1,1,0,0,NA,NA,1
"98","28405","284",1,0,0,NA,0,0,1,1,0,0,NA,NA,1
"99","28405","284",1,2,1,1,0,1,1,1,0,0,NA,NA,1
"100","28405","284",1,1,1,1,0,1,1,1,1,1,NA,NA,2
"101","28406","284",1,0,1,NA,0,1,1,NA,NA,NA,NA,NA,NA
"102","28406","284",1,1,1,0,0,1,1,1,0,0,NA,NA,1
"103","28406","284",1,2,1,0,0,1,0,0,0,0,NA,NA,0
"104","28407","284",1,1,1,0,0,0,1,1,0,0,NA,NA,1
"105","28407","284",1,2,1,1,0,0,1,0,0,0,NA,NA,0
"106","28407","284",1,0,1,NA,1,0,1,NA,NA,NA,NA,NA,NA
"107","28408","284",1,2,1,1,0,0,1,1,1,1,NA,NA,2
"108","28408","284",1,1,1,1,1,0,1,1,0,0,NA,NA,1
"109","28408","284",1,0,0,NA,1,0,1,1,0,0,NA,NA,1
"110","28501","285",1,2,0,0,1,0,1,1,1,1,0.6666666,0.5714286,2
"111","28501","285",1,0,0,NA,0,1,1,1,1,1,NA,NA,2
"112","28501","285",1,1,1,0,1,1,1,1,0,0,0.8888889,0.7142857,1
"113","28502","285",1,0,0,NA,1,1,1,1,0,0,NA,NA,1
"114","28503","285",1,2,0,0,0,0,1,1,0,0,1.107143,1,1
"115","28503","285",1,0,0,NA,0,1,1,1,0,0,NA,NA,1
"116","28504","285",1,0,0,NA,0,1,1,1,0,0,NA,NA,1
"117","28505","285",1,2,1,0,0,1,1,0,0,0,1.066667,1,0
"118","28505","285",1,0,1,NA,0,0,1,1,0,0,NA,NA,1
"119","28505","285",1,1,0,0,0,0,1,NA,NA,NA,1.194444,1,NA
"120","28506","285",1,2,1,0,0,1,1,1,0,0,-0.2,1,1
"121","28506","285",1,0,1,NA,0,1,1,1,0,0,NA,NA,1
"122","28506","285",1,1,0,0,0,0,1,1,0,0,0.9444445,1,1
"123","28507","285",1,1,1,0,0,0,1,1,0,0,1.111111,1,1
"124","28507","285",1,2,0,0,0,1,1,1,0,0,4.571429,NA,1
"125","28507","285",1,0,1,NA,0,1,1,1,0,0,NA,NA,1
"126","28508","285",1,0,0,NA,1,1,1,1,1,1,NA,NA,2
"127","28601","286",1,0,0,NA,1,1,1,1,0,0,NA,NA,1
"128","28601","286",1,2,1,0,1,1,1,1,1,1,NA,NA,2
"129","28601","286",1,1,0,0,1,1,1,1,1,1,NA,NA,2
"130","28602","286",1,1,0,0,1,1,1,1,1,1,NA,NA,2
"131","28602","286",1,0,0,NA,1,1,1,1,0,0,NA,NA,1
"132","28602","286",1,2,0,0,0,0,1,1,0,0,NA,NA,1
"133","28603","286",1,2,0,0,0,0,1,1,0,0,NA,NA,1
"134","28603","286",1,1,1,0,0,1,1,1,0,0,NA,NA,1
"135","28603","286",1,0,0,NA,0,1,1,1,0,0,NA,NA,1
"136","28604","286",1,0,0,NA,1,1,1,1,0,0,NA,NA,1
"137","28605","286",1,2,1,0,0,0,1,1,1,1,NA,NA,2
"138","28605","286",1,0,0,NA,0,0,1,1,0,0,NA,NA,1
"139","28605","286",1,1,1,0,0,0,1,1,1,1,NA,NA,2
"140","28606","286",1,0,1,NA,0,1,1,1,0,0,NA,NA,1
"141","28606","286",1,2,0,0,1,0,1,1,0,0,NA,NA,1
"142","28606","286",1,1,1,0,1,1,1,1,0,0,NA,NA,1
"143","28607","286",1,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"144","28607","286",1,2,0,0,NA,NA,1,1,0,0,NA,NA,1
"145","28607","286",1,1,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA
"146","28608","286",1,0,1,NA,0,0,1,1,0,0,NA,NA,1
"147","28701","287",1,1,1,1,1,0,1,1,1,1,NA,NA,2
"148","28701","287",1,2,1,1,1,1,1,1,1,1,NA,NA,2
"149","28701","287",1,0,0,NA,1,1,1,1,0,0,NA,NA,1
"150","28702","287",1,0,0,NA,1,1,1,1,0,0,NA,NA,1
"151","28702","287",1,1,1,1,1,0,1,1,1,1,NA,NA,2
"152","28702","287",1,2,1,1,1,1,1,1,1,1,NA,NA,2
"153","28703","287",1,2,1,1,1,1,1,1,1,1,NA,NA,2
"154","28703","287",1,1,1,1,1,1,1,1,1,1,NA,NA,2
"155","28703","287",1,0,0,NA,NA,0,1,1,0,0,NA,NA,1
"156","28704","287",1,0,1,NA,0,0,1,NA,NA,NA,NA,NA,NA
"157","28704","287",1,2,1,1,1,1,1,1,1,1,NA,NA,2
"158","28704","287",1,1,1,1,1,1,1,1,1,1,NA,NA,2
"159","28705","287",1,0,0,NA,1,1,1,1,0,0,NA,NA,1
"160","28705","287",1,1,1,1,1,1,1,1,1,1,NA,NA,2
"161","28705","287",1,2,1,1,1,1,1,1,1,1,NA,NA,2
"162","28706","287",1,1,1,1,1,1,1,1,1,1,NA,NA,2
"163","28706","287",1,2,1,1,1,1,1,1,1,1,NA,NA,2
"164","28706","287",1,0,1,NA,0,0,1,NA,NA,NA,NA,NA,NA
"165","28707","287",1,2,1,1,1,1,1,1,1,1,NA,NA,2
"166","28707","287",1,1,1,1,1,0,1,1,1,1,NA,NA,2
"167","28707","287",1,0,1,NA,0,0,1,1,0,0,NA,NA,1
"168","28708","287",1,0,0,NA,1,1,1,1,0,0,NA,NA,1
"169","28801","288",2,0,0,NA,0,0,1,1,0,0,NA,NA,1
"170","28801","288",2,2,1,1,1,1,1,1,1,1,0.9230769,0.8571429,2
"171","28802","288",2,1,1,0,1,1,1,1,1,1,1.029412,1,2
"172","28802","288",2,0,1,NA,0,1,1,1,0,0,NA,NA,1
"173","28802","288",2,2,1,1,1,1,1,1,1,1,1.038462,1,2
"174","28803","288",2,2,1,1,1,1,1,1,1,1,1.038462,1,2
"175","28803","288",2,0,1,NA,0,1,1,1,0,0,NA,NA,1
"176","28803","288",2,1,1,1,1,1,1,1,1,1,1.058823,1,2
"177","28804","288",2,1,1,1,0,0,1,1,1,1,1.029412,1,2
"178","28804","288",2,2,1,1,1,1,1,1,1,1,0.7692308,1,2
"179","28804","288",2,0,0,NA,0,0,1,1,0,0,NA,NA,1
"180","28805","288",2,0,1,NA,0,0,1,1,0,0,NA,NA,1
"181","28805","288",2,2,1,1,1,1,1,1,1,1,NA,NA,2
"182","28805","288",2,1,1,1,1,1,1,1,1,1,1.029412,1,2
"183","28806","288",2,0,0,NA,0,0,1,1,0,0,NA,NA,1
"184","28807","288",2,1,1,1,1,0,1,1,1,1,1,1,2
"185","28807","288",2,2,1,1,1,1,1,1,1,1,1.038462,1,2
"186","28807","288",2,0,1,NA,NA,NA,1,1,0,0,NA,NA,1
"187","28901","289",2,0,0,NA,1,0,1,1,0,0,NA,NA,1
"188","28901","289",2,2,0,0,0,1,1,1,0,0,NA,NA,1
"189","28901","289",2,1,0,0,0,0,1,1,1,1,NA,NA,2
"190","28902","289",2,1,0,0,1,1,1,1,1,1,NA,NA,2
"191","28902","289",2,0,0,NA,0,0,1,1,0,0,NA,NA,1
"192","28903","289",2,0,0,NA,0,0,1,1,0,0,NA,NA,1
"193","28903","289",2,2,0,0,0,1,1,1,0,0,NA,NA,1
"194","28904","289",2,2,1,0,0,1,1,0,0,0,NA,NA,0
"195","28904","289",2,0,1,NA,0,1,1,NA,NA,NA,NA,NA,NA
"196","28905","289",2,0,1,NA,1,0,1,1,0,0,NA,NA,1
"197","28905","289",2,1,0,0,1,1,1,1,0,0,NA,NA,1
"198","28905","289",2,2,0,0,1,1,1,1,0,0,NA,NA,1
"199","28906","289",2,1,0,0,1,1,1,1,0,0,NA,NA,1
"200","28906","289",2,2,1,0,1,1,1,1,0,0,NA,NA,1
"201","28906","289",2,0,0,NA,1,1,1,1,0,0,NA,NA,1
"202","28907","289",2,2,1,0,0,0,1,0,0,0,NA,NA,0
"203","28907","289",2,1,1,0,NA,0,1,NA,NA,NA,NA,NA,NA
"204","28907","289",2,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"205","28908","289",2,0,1,NA,0,1,1,NA,NA,NA,NA,NA,NA
"206","28908","289",2,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA
"207","28908","289",2,2,1,0,0,1,1,0,0,0,NA,NA,0
"208","29001","290",2,0,0,NA,0,0,1,1,0,0,NA,NA,1
"209","29001","290",2,1,1,0,1,0,1,1,1,1,NA,NA,2
"210","29001","290",2,2,1,0,1,1,1,1,1,1,NA,NA,2
"211","29002","290",2,1,0,0,1,0,1,1,1,1,NA,NA,2
"212","29002","290",2,2,0,0,0,1,1,1,1,1,NA,NA,2
"213","29002","290",2,0,0,NA,0,1,1,1,0,0,NA,NA,1
"214","29003","290",2,1,1,0,1,0,1,1,1,1,NA,NA,2
"215","29003","290",2,2,1,0,0,0,1,1,1,1,NA,NA,2
"216","29003","290",2,0,0,NA,1,1,1,1,0,0,NA,NA,1
"217","29004","290",2,2,0,0,0,0,1,1,1,1,NA,NA,2
"218","29004","290",2,0,1,NA,0,1,1,1,0,0,NA,NA,1
"219","29004","290",2,1,0,0,0,0,1,1,1,1,NA,NA,2
"220","29005","290",2,2,0,0,0,0,1,1,1,1,NA,NA,2
"221","29005","290",2,0,1,NA,0,1,1,1,0,0,NA,NA,1
"222","29005","290",2,1,0,0,0,0,1,1,1,1,NA,NA,2
"223","29006","290",2,0,1,NA,1,1,1,1,0,0,NA,NA,1
"224","29007","290",2,1,0,0,0,1,1,1,1,1,NA,NA,2
"225","29007","290",2,2,0,0,0,1,1,1,1,1,NA,NA,2
"226","29007","290",2,0,0,NA,0,1,1,1,0,0,NA,NA,1
"227","29008","290",2,2,1,0,0,1,1,1,1,1,NA,NA,2
"228","29008","290",2,1,0,0,0,1,1,1,1,1,NA,NA,2
"229","29008","290",2,0,0,NA,0,1,1,1,0,0,NA,NA,1
"230","29101","291",2,1,1,1,1,1,1,1,1,1,NA,NA,2
"231","29101","291",2,2,1,1,1,1,1,1,1,1,NA,NA,2
"232","29101","291",2,0,0,NA,0,0,1,1,0,0,NA,NA,1
"233","29102","291",2,2,1,0,1,1,1,1,1,1,NA,NA,2
"234","29102","291",2,0,1,NA,0,0,1,1,0,0,NA,NA,1
"235","29103","291",2,0,1,NA,0,0,0,1,0,0,NA,NA,1
"236","29103","291",2,1,1,1,1,1,1,1,1,1,NA,NA,2
"237","29103","291",2,2,1,1,1,1,1,1,1,1,NA,NA,2
"238","29104","291",2,0,0,NA,1,0,1,1,0,0,NA,NA,1
"239","29104","291",2,2,1,1,1,1,1,1,1,1,NA,NA,2
"240","29104","291",2,1,1,1,1,1,1,1,1,1,NA,NA,2
"241","29105","291",2,0,0,NA,1,1,1,1,0,0,NA,NA,1
"242","29105","291",2,1,1,1,1,1,1,1,1,1,NA,NA,2
"243","29105","291",2,2,1,1,0,1,1,1,1,1,NA,NA,2
