"","dataid","clusterid","block","Nhh","Nlt18","Ncomp","momage","momheight","momeduy","dadeduy","dadagri","landacre","hfias","hfiacat","tubewell","watmin","storewat","treatwat","latown","latslab","latseal","latfeces","potty","humfeces","humfecesch","hwsw","hwss","hwsws","roof","walls","floor","cement","elec","asset_radio","asset_tvbw","asset_tvcol","asset_refrig","asset_bike","asset_moto","asset_sewmach","asset_phone","asset_tv","asset_wardrobe","asset_table","asset_chair","asset_clock","asset_khat","asset_chouki","asset_mobile","n_asset_mobile","hwcat"
"1","28001","280",1,5,3,11,30,146.4,4,0,1,0.03,0,"Food Secure",0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1
"2","28002","280",1,4,2,4,25,148.75,3,5,0,0.1,2,"Moderately Food Insecure",0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
"3","28003","280",1,4,1,10,25,152.15,3,4,1,0.06,0,"Food Secure",0,0,1,0,0,NA,NA,NA,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
"4","28004","280",1,5,3,5,28,140.25,5,8,0,0.05,0,"Food Secure",0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,2,1
"5","28005","280",1,7,2,7,19,150.95,8,9,1,0.09,0,"Food Secure",0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2
"6","28006","280",1,3,0,3,20,154.2,6,7,0,0.06,6,"Severely Food Insecure",0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"7","28007","280",1,4,0,4,22,NA,8,9,0,0.19,0,"Food Secure",1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,2
"8","28008","280",1,8,2,8,19,150.9,5,5,1,0.13,0,"Food Secure",1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
"9","28101","281",1,4,2,9,25,141.8,0,5,0,0.09,0,"Food Secure",1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1
"10","28102","281",1,4,1,9,30,153.4,6,5,0,0.06,0,"Food Secure",1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
